homosexualiteit homoseksualiteit
homosexueel homoseksueel
homosexuele homoseksuele
hoofstad hoofdstad
hoofsteden hoofdsteden
hoogeïnd hoogeind
hopenlijk hopelijk
iaen iaën
identifikatie identificatie
identiteit identiteid
ieluster illuster
ielustere illustere
ikonen iconen
ikoon icoon
imigrant immigrant
imigranten immigranten
immunogeniteit immunogeniciteit
immuum immuun
indentificatie identificatie
indentifikatie identificatie
indier indiër
indiers indiërs
infantrie infanterie
iniatief initiatief
inmuum immuun
inmuun immuun
insekt insect
insekten insecten
intepreteren interpreteren
italie italië
jacobsladder jakobsladder
jalousie jaloezie
january januari
joghurt yoghurt
jou jouw
jubilieum jubileum
july juli
june juni
kado cadeau
kain kaïn
kaleidoscopisch caleidoscopisch
kaliefaat kalifaat
kaliefaten kalifaten
kaligrafie kalligrafie
kapitel kapittel
kappitel kapittel
kappittel kapittel
kapsijzen kapseizen
karweizaad karwijzaad
karweizaden karwijzaden
kasmier kasjmier
kassaticket kasticket
katagorie categorie
kategorie categorie
kievietten kievieten
kievitten kieviten
klerenlijer klerelijer
kliken klikken
klisjee cliché
klisjees clichés
koeouttjoek caoutchouc
koepee coupé
kolibri kolibrie
komenikee communiqué
kompleet compleet
komunikee communiqué
koninginnendag koninginnedag
kontakt contact
kontakten contacten
kopies kopieën
korpus corpus
korrekt correct
korrekte correcte
kosmetica cosmetica
kosmetika cosmetica
kostenloos kosteloos
kreme crème
kreperen creperen
kunow kunów
kurses cursus
kursus cursus
kurzes cursus
kurzus cursus
kwantiteit kwaliteit
kyste cyste
laaste laatste
laatse laatste
lazanja lasagne
leini leinì
lendewervel lendenwervel
libelles libellen
liege liège
lineaal liniaal
litauwen litouwen
liége liège
locaal lokaal
locale lokale
loenga loënga
lokatie locatie
lokatief locatief
lokaties locaties
lome lomé
lomè lomé
loup loep
loupe loep
lozere lozère
lozére lozère
lunen lünen
maccaroni macaroni
macon mâcon
macroni macaroni
madagascar madagaskar
mafia maffia
mako makó
malaga málaga
malmo malmö
manenschijn maneschijn
march maart
may mei
meedere meerdere
megool mongool
meijer meier
mensenlijk menselijk
mensenlijke menselijke
meubulair meubilair
mexiko mexico
middelandse middellandse
middeleuwen middeleeuwen
middelleeuwen middeleeuwen
middelleuwen middeleeuwen
middenlandse middellandse
middenllandse middellandse
milenia millennia
milenium millennium
milennia millennia
milennium millennium
milieu mileu
millenia millennia
millenium millennium
mimicrie mimicry
miniscuul minuscuul
minitieus minutieus
mischien misschien
misisipi mississippi
misisippi mississippi
misissipi mississippi
misissippi mississippi
missisipi mississippi
missisippi mississippi
mississipi mississippi
moee moeë
mogool mongool
moire moiré
mondharmonika mondharmonica
moniken monniken
monikken monniken
monnikken monniken
moter motor
museas musea
musseum museum
muziekale muzikale
muziekant muzikant
nae naë
namenlijk namelijk
neit niet
nietemin niettemin
nieuwschierig nieuwsgierig
niewe nieuwe
niewer nieuwer
nivo niveau
nivos niveaus
nochthans nochtans
nouveaute nouveauté
nucleare nucleaire
octafen octaven
october oktober
oekraine oekraïne
oevre oeuvre
ofset offset
oiek oïek
oktaaf octaaf
oktafen octaven
oktaven octaven
omerta omertà
omis omiš
ommelet omelet
omtrend omtrent
omweer onweer
onmiddelijk onmiddellijk
onsta ontsta
onstaan ontstaan
onstaat ontstaat
ontdeken ontdekken
ontrek onttrek
ontrekken onttrekken
ontrekt onttrekt
ontrok onttrok
ontrokken onttrokken
onvang ontvang
onvangen ontvangen
onvangt ontvangt
orca orka
orcas orkas
overnieuw opnieuw
oxydatie oxidatie
paardebloem paardenbloem
panuco pánuco
paralelepipedum parallellepipedum
paralellepipedum parallellepipedum
parallelepipedum parallellepipedum
pause pauze
peigne peigné
piastow piastów
pique piqué
pitoresk pittoresk
pitoreske pittoreske
pitoresque pittoresk
pittoresque pittoresk
plakaat plakkaat
plakaten plakkaten
plisse plissé
poezie poëzie
polshoogte poolshoogte
posthume postume
posthuum postuum
potporie potpourri
practizeren praktiseren
prakkizeren prakkiseren
praktizeren praktiseren
prive privé
probeerd probeert
produkt product
produkten producten
produktie productie
produktief productief
produkties producties
produktieve productieve
produktiviteit productiviteit
projekt project
pyreneese pyrenese
quartz kwarts
qweker quaker
radziejow radziejów
ragoe ragout
ragoût ragout
ratine ratiné
reaktie reactie
reaktief reactief
reakties reacties
rechtzaak rechtszaak
rechtzaken rechtszaken
recu reçu
recus reçus
reee reeë
reeel reëel
reeen reeën
reeël reëel
reikweite reikwijdte
relekst relaxt
reunie reünie
reëe reeë
reëen reeën
reëë reeë
reëël reëel
reëën reeën
rheuma reuma
ribbeboog ribbenboog
rigoereus rigoureus
rigoereuze rigoureuze
rigoreus rigoureus
rigoreuze rigoureuze
rijssel rijsel
ruggenspraak ruggespraak
ruine ruïne
ruines ruïnes
rusich russisch
rusisch russisch
russich russisch
saccharide sacharide
sanskrit sanskriet
santekraam santenkraam
santekramen santenkramen
sarvar sárvár
sarvár sárvár
scetch sketch
scetches sketches
scheeen scheeën
scheëen scheeën
scheëën scheeën
secte sekte
secten sekten
sectes sektes
seksappeal sexappeal
servie servië
sex seks
sexe sekse
sexualisme seksualisme
sexualiteit seksualiteit
sexueel seksueel
sexuele seksuele
sexverslaafde seksverslaafde
shiiet sjiiet
shiieten sjiieten
shiietisch sjiitisch
shiit sjiiet
shiiten sjiieten
shiitisch sjiitisch
sierraad sieraad
sierraden sieraden
simpathie sympathie
simpatie sympathie
sjiek chic
sjieke chique
sjiietisch sjiitisch
sjiit sjiiet
sjiiten sjiieten
slechterikken slechteriken
smink schmink
sminken schminken
smoutenbol smoutebol
snietsel schnitzel
snietsels schnitzels
solidairiteit solidariteit
sowieso sowiezo
sowiezo sowieso
spagethi spaghetti
spageti spaghetti
spagetthi spaghetti
spagetti spaghetti
spaggethi spaghetti
spaggeti spaghetti
spaggetthi spaghetti
spaggetti spaghetti
spagghethi spaghetti
spaggheti spaghetti
spagghetthi spaghetti
spagghetti spaghetti
spaghethi spaghetti
spagheti spaghetti
spaghetthi spaghetti
spectakel spektakel
sperciebonen sperziebonen
spercieboon sperzieboon
stationnering stationering
steelde stal
steelden stalen
stere stère
sterradiaal steradiaal
stewardes stewardess
stewardesen stewardessen
stiekum stiekem
stijle steile
stoeffen stoefen
stresst strest
stresste streste
stressten stresten
strict strikt
stricte strikte
sturmbahnführer sturmbannführer
sturmbahnführers sturmbannführers
succes sukses
success succes
successvol succesvol
suces succes
sucessen successen
sucessie successie
sucesvol succesvol
sudan soedan
suede suède
sukses succes
suksessen successen
suksessie successie
suksesvol succesvol
surceance surseance
sympatie sympathie
symphatiek sympathiek
sárvar sárvár
tamoesi tamsoei
tartaren tataren
tax taks
taxen taksen
tenslotte slotte
terein terrein
tereinen terreinen
tereinn terrein
tereinnen terreinen
terreinn terrein
terreinnen terreinen
tesamen tezamen
tjech tsjech
tjechen tsjechen
tjechisch tsjechisch
tjechische tsjechische
toernee tournee
tog toch
tourisme toerisme
traffiek trafiek
trigoniometrie trigonometrie
trucendoos trukendoc
trucendozen trukendoc
trukkendoos trukendokk
trukkendozen trukendokk
tyran tiran
uittentreure uitentreuren
uitteraard uiteraard
uittermate uitermate
uitting uiting
uitwijden uitweiden
uzbeken oezbeken
uzbekistan oezbekistan
vaarde voer
vaarden voeren
vac vác
vardo vardø
varieërt varieert
variëten varianten
veder verder
vendee vendée
verassen verrassen
verassing verrassing
verhefte verhief
verheften verhieven
vermijen vermeien
vermouth vermout
verot verrot
vervolges vervolgens
verworf verwierf
verwoven verweven
verzamelingsleer verzamelingenleer
viertien veertien
vioolen violen
vleien vlijen
volgd volgt
vondsen vondsten
vondt vond
waroom waarom
weee weeë
weeen weeën
weerzijden weerszijden
weleenswaar weliswaar
welliswaar weliswaar
werdt werd
westfrieze westfriese
weëe weeë
weëen weeën
weëë weeë
weëën weeën
wiegedood wiegendood
yak jak
zij zei
zinj zijn
zinvolheid zin
zjaine gêne
zjaket jacquet
zjin zijn
zo zó
zowieso sowieso
zowiezo sowieso
zwezerikken zwezeriken
zwisterse zwitserse
